Delito,SubDelito,Fecha,Victima,SubVictima,Edad,Genero,Nacionalidad,Provincia,Canton,Distrito
ASALTO,ARREBATO,2022-01-12,PERSONA,PEATON [PERSONA],Mayor de edad,,NICARAGUA,SAN JOSE,SAN JOSE,MERCED
ASALTO,ARREBATO,2022-01-14,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,,COSTA RICA,SAN JOSE,SAN JOSE,MERCED
ASALTO,ARREBATO,2022-01-18,PERSONA,PEATON [PERSONA],Mayor de edad,,COSTA RICA,SAN JOSE,DESAMPARADOS,SAN ANTONIO
ASALTO,ARREBATO,2022-01-20,PERSONA,PASAJERO DE TRANSPORTE PUBLICO [PERSONA],Mayor de edad,,COSTA RICA,SAN JOSE,GOICOECHEA,SAN FRANCISCO
ASALTO,ARREBATO,2022-01-21,PERSONA,PEATON [PERSONA],Mayor de edad,,COSTA RICA,HEREDIA,SARAPIQUI,PUERTO VIEJO
ASALTO,ARREBATO,2022-01-27,PERSONA,PEATON [PERSONA],Mayor de edad,,COSTA RICA,GUANACASTE,CARRILLO,BELEN
ASALTO,ARREBATO,2022-01-28,PERSONA,PEATON [PERSONA],Mayor de edad,,COSTA RICA,SAN JOSE,SAN JOSE,HOSPITAL
ASALTO,ARREBATO,2022-01-28,PERSONA,TURISTA/EXTRANJERO [PERSONA],Mayor de edad,,COSTA RICA,ALAJUELA,UPALA,UPALA
ASALTO,ARREBATO,2022-02-01,PERSONA,PEATON [PERSONA],Mayor de edad,,PERU,SAN JOSE,SAN JOSE,HOSPITAL
ASALTO,ARREBATO,2022-02-05,PERSONA,TURISTA/NACIONAL [PERSONA],Mayor de edad,,COSTA RICA,GUANACASTE,LIBERIA,CURUBANDE
ASALTO,ARREBATO,2022-02-09,PERSONA,PEATON [PERSONA],Mayor de edad,,NICARAGUA,SAN JOSE,SAN JOSE,SAN SEBASTIAN
ASALTO,ARREBATO,2022-02-10,PERSONA,PEATON [PERSONA],Mayor de edad,,COSTA RICA,CARTAGO,CARTAGO,ORIENTAL
ASALTO,ARREBATO,2022-02-09,PERSONA,PEATON [PERSONA],Mayor de edad,,NICARAGUA,SAN JOSE,SAN JOSE,HOSPITAL
ASALTO,ARREBATO,2022-02-14,PERSONA,PEATON [PERSONA],Mayor de edad,,NICARAGUA,SAN JOSE,SAN JOSE,SAN FRANCISCO DE DOS RIOS
ASALTO,ARREBATO,2022-02-19,PERSONA,PEATON [PERSONA],Mayor de edad,,COSTA RICA,GUANACASTE,LIBERIA,LIBERIA
ASALTO,ARREBATO,2022-02-25,PERSONA,PEATON [PERSONA],Mayor de edad,,COSTA RICA,ALAJUELA,ALAJUELA,ALAJUELA
ASALTO,ARREBATO,2022-02-26,PERSONA,PEATON [PERSONA],Mayor de edad,,HONDURAS,SAN JOSE,SAN JOSE,MERCED
ASALTO,ARREBATO,2022-03-02,PERSONA,PEATON [PERSONA],Mayor de edad,,FRANCIA,PUNTARENAS,GOLFITO,JIMENEZ
ASALTO,ARREBATO,2022-03-03,PERSONA,PEATON [PERSONA],Mayor de edad,,COSTA RICA,SAN JOSE,MORAVIA,SAN VICENTE
ASALTO,ARREBATO,2022-03-04,PERSONA,PEATON [PERSONA],Mayor de edad,,COSTA RICA,SAN JOSE,SAN JOSE,HOSPITAL
ASALTO,ARREBATO,2022-03-04,PERSONA,PEATON [PERSONA],Mayor de edad,,COSTA RICA,SAN JOSE,CURRIDABAT,SANCHEZ
ASALTO,ARREBATO,2022-02-09,VEHICULO,AUTOMOVIL [VEHICULO],Adulto Mayor,,COSTA RICA,SAN JOSE,SAN JOSE,HOSPITAL
ASALTO,ARREBATO,2022-02-28,PERSONA,PEATON [PERSONA],Mayor de edad,,NICARAGUA,CARTAGO,CARTAGO,GUADALUPE
ASALTO,ARREBATO,2022-03-10,PERSONA,PEATON [PERSONA],Mayor de edad,,NICARAGUA,SAN JOSE,SAN JOSE,HOSPITAL
ASALTO,ARREBATO,2022-02-11,PERSONA,PEATON [PERSONA],Mayor de edad,,NICARAGUA,SAN JOSE,SAN JOSE,CATEDRAL
ASALTO,ARREBATO,2022-03-09,PERSONA,PEATON [PERSONA],Mayor de edad,,NICARAGUA,SAN JOSE,SAN JOSE,PAVAS
